name,link,affiliations,email,cited_by
Agung Deni Wahyudi,https://scholar.google.com/citations?hl=en&user=X0dBqxcAAAAJ,amik teknokrat,Verified email at teknokrat.ac.id,625.0
Maidiana Astuti Handayani,https://scholar.google.com/citations?hl=en&user=YZggyeEAAAAJ,"Doctor of Economic, Universitas Teknokrat Indonesia",Verified email at teknokrat.ac.id,624.0
Muhammad Hayat,https://scholar.google.com/citations?hl=en&user=eiRPyScAAAAJ,Hayat Design,Verified email at teknokrat.ac.id,622.0
Ahmad Ari Aldino,https://scholar.google.com/citations?hl=en&user=hWAWKPwAAAAJ,Assistant Professor of Data Science at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,610.0
Permata,https://scholar.google.com/citations?hl=en&user=PyShXkgAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,580.0
"Suaidah, M.Kom.",https://scholar.google.com/citations?hl=en&user=BUZCIxwAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,573.0
Dian Novita (Sinta ID: 6695262),https://scholar.google.com/citations?hl=en&user=CaKxsTUAAAAJ,Assistant Professor of Marketing at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,573.0
ALVI RAIHAN UTAMI,https://scholar.google.com/citations?hl=en&user=loNEA7oAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,557.0
"Nirwana Hendrastuty, M.Cs.",https://scholar.google.com/citations?hl=en&user=--wiCSMAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,551.0
Agung Tri Prastowo,https://scholar.google.com/citations?hl=en&user=DMY5fzkAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,542.0
Jaka Persada Sembiring,https://scholar.google.com/citations?hl=en&user=MNcEn1wAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,540.0
"Dina Amelia SS, M.Hum.",https://scholar.google.com/citations?hl=en&user=_yjee60AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,535.0
ARMA SATRIA GUFTA,https://scholar.google.com/citations?hl=en&user=noVkZ30AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,519.0
"M. Ghufroni An'ars, M.Pd.",https://scholar.google.com/citations?hl=en&user=mU7NZ4sAAAAJ,Lecturer at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,510.0
Vera Apridina Safitri,https://scholar.google.com/citations?hl=en&user=JY6j8TMAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,508.0
Faruk Ulum,https://scholar.google.com/citations?hl=en&user=9D5cZzUAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,507.0
Dian Pratiwi,https://scholar.google.com/citations?hl=en&user=MJoqzH4AAAAJ,Lecturer of Civil Engineering,Verified email at teknokrat.ac.id,505.0
mega ayu lestari,https://scholar.google.com/citations?hl=en&user=vAdPSHQAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,504.0
Riduwan Napianto,https://scholar.google.com/citations?hl=en&user=9qwr17kAAAAJ,Universiras Teknokrat Indonesia,Verified email at teknokrat.ac.id,493.0
Fajar Dewantoro,https://scholar.google.com/citations?hl=en&user=VNNDTxYAAAAJ,universitas teknokrat indonesia,Verified email at teknokrat.ac.id,484.0
Vinsensius Dendi Yunanda,https://scholar.google.com/citations?hl=en&user=A0X1NrUAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,465.0
"Zaenal Abidin (Scopus ID : 57222998218, Sinta ID : 6023314))",https://scholar.google.com/citations?hl=en&user=0aKs0RgAAAAJ,Assistant Professor of Natural Language Processing at Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,459.0
"Dr. Heri Kuswoyo, M.Hum. (Scopus ID: 57221784792; WoS ID: AAJ-5403-2020; Sinta ID: 258759)",https://scholar.google.com/citations?hl=en&user=hLsnKPsAAAAJ,"Assistant Professor of Functional Linguistics, Universitas Teknokrat Indonesia",Verified email at teknokrat.ac.id,455.0
HARRY ANGGONO,https://scholar.google.com/citations?hl=en&user=nrbW6ccAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,432.0
Randy Setiawan,https://scholar.google.com/citations?hl=en&user=Q67s7gkAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,429.0
Ari Sulistiyawati,https://scholar.google.com/citations?hl=en&user=EgQcH3QAAAAJ,"Universitas Teknokrat Indonesia, SMAN 2 Gedongtataan",Verified email at teknokrat.ac.id,425.0
Fatmawati Isnaini,https://scholar.google.com/citations?hl=en&user=S6TmUKkAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,423.0
Ristiandika Arrahman,https://scholar.google.com/citations?hl=en&user=FU6C_IUAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,412.0
M. Yuseano Kardiansyah,https://scholar.google.com/citations?hl=en&user=WP44e_AAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,375.0
"Defia Riski Anggarini, ID Sinta: 6698932",https://scholar.google.com/citations?hl=en&user=O-hbVUMAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,362.0
Jafar Fakhrurozi,https://scholar.google.com/citations?hl=en&user=bRflhYAAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,359.0
Lathifah,https://scholar.google.com/citations?hl=en&user=Msx8lUQAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,356.0
Teta Irama Setri,https://scholar.google.com/citations?hl=en&user=1540P-0AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,355.0
Muhammad Fithratullah,https://scholar.google.com/citations?hl=en&user=HwZQWHoAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,351.0
Bertarina Bertarina,https://scholar.google.com/citations?hl=en&user=PYbk4ygAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,340.0
CLARA FATIMAH,https://scholar.google.com/citations?hl=en&user=J2Zm4iQAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,339.0
Budi Eko Pranoto,https://scholar.google.com/citations?hl=en&user=ZKpRNZoAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,328.0
Dian Puspita (Scopus ID: 57223811002; Sinta ID:6694145),https://scholar.google.com/citations?hl=en&user=9PJtQMgAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,327.0
Tri Widodo,https://scholar.google.com/citations?hl=en&user=Vl-MgkkAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,309.0
Ingatan Gulö,https://scholar.google.com/citations?hl=en&user=AgdwkN0AAAAJ,"Universitas Teknokrat Indonesia, Bandar Lampung, Indonesia",Verified email at teknokrat.ac.id,292.0
Muhtad Fadly,https://scholar.google.com/citations?hl=en&user=q3rqrz8AAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,269.0
Parjito,https://scholar.google.com/citations?hl=en&user=cUA3gEAAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,265.0
JEPRIYANTO Mahasiswa,https://scholar.google.com/citations?hl=en&user=CYIJ4CQAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,252.0
Fenty Ariyani,https://scholar.google.com/citations?hl=en&user=Fp12kcwAAAAJ,Universitas Teknokrat Indonesia,Verified email at teknokrat.ac.id,247.0
